episode,average_reward,bankruptcy_rate,average_ending_money,average_loan_duration,invalid_action_rate
10000,-23560.0,0.3,31760.0,0.02,0.44820295983086683
20000,-37542.5,0.42,24790.0,0.22,0.011494252873563218
30000,-49705.0,0.51,22290.0,0.17,0.03233830845771144
40000,-37870.0,0.46,27920.0,0.12,0.0
50000,-17220.0,0.36,38130.0,0.21,0.002178649237472767
