episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
100,0.999791,-157500,-40662.5,21919.02369140625,492,0.17,41,21260.0,62,72,58,70,51,63,63,52,63
200,0.9995798888888889,-157000,-47215.0,23446.18228515625,957,0.15,44,17780.0,60,64,48,55,63,63,65,55,52
300,0.9993687777777778,51000,-43892.5,24156.0169140625,1429,0.26,39,16410.0,41,65,53,53,57,65,60,66,53
400,0.9991576666666667,46750,-49567.5,24618.11177734375,1903,0.16,45,17180.0,73,55,61,57,68,62,60,55,56
500,0.9989465555555556,6250,-47052.5,24338.815302734376,2378,0.2,42,16160.0,64,49,52,71,60,66,61,66,50
600,0.9987354444444444,1000,-32002.5,24063.9795703125,2884,0.2,33,22090.0,65,73,68,68,48,69,54,67,59
700,0.9985243333333333,-150000,-58697.5,24897.802119140626,3344,0.09,49,11070.0,51,55,57,53,54,56,62,66,57
800,0.9983132222222222,31250,-56890.0,23803.706162109374,3794,0.24,47,12400.0,60,54,55,59,62,58,57,51,54
900,0.9981021111111111,-185000,-56195.0,24966.48623046875,4251,0.17,49,14180.0,50,55,59,60,59,54,61,51,58
1000,0.997891,83000,-27460.0,25064.7641796875,4726,0.07,34,26680.0,61,69,59,51,61,58,68,63,46
1100,0.9976798888888889,46500,-46192.5,25040.086279296876,5196,0.16,42,17040.0,62,49,55,58,71,64,56,53,64
1200,0.9974687777777778,-125250,-52885.0,25119.95966796875,5675,0.21,47,15050.0,46,50,53,63,72,55,55,58,73
1300,0.9972576666666667,-167250,-42380.0,24756.607197265625,6165,0.19,43,22540.0,73,68,64,63,56,62,57,61,59
1400,0.9970465555555555,-130500,-47747.5,24067.866943359375,6648,0.36,42,17570.0,68,48,68,66,53,62,62,65,59
1500,0.9968354444444445,16000,-53792.5,24896.1935546875,7099,0.28,49,17520.0,50,71,48,49,49,60,62,59,53
1600,0.9966243333333333,-7250,-45055.0,25716.78623046875,7581,0.3,39,16520.0,70,46,62,80,57,59,60,63,55
1700,0.9964132222222222,-122000,-40842.5,25345.79166015625,8042,0.12,39,19160.0,49,57,44,65,66,49,50,70,60
1800,0.9962021111111111,-7250,-55142.5,25780.89294921875,8501,0.29,46,13750.0,55,45,45,73,58,63,62,60,53
1900,0.995991,-7500,-46985.0,26092.926240234374,8987,0.11,44,17410.0,57,59,65,59,62,69,61,58,53
2000,0.9957798888888889,-127750,-36912.5,24744.62416015625,9472,0.18,37,21450.0,63,59,58,61,55,58,69,61,64
2100,0.9955687777777777,-151500,-33930.0,24747.691875,9970,0.2,36,22910.0,59,62,76,58,70,48,66,64,54
2200,0.9953576666666667,12250,-52142.5,25568.544013671875,10433,0.07,47,15180.0,45,69,50,60,63,49,63,60,49
2300,0.9951465555555555,59000,-47227.5,26193.822099609373,10895,0.18,44,19230.0,71,55,62,61,46,66,50,55,67
2400,0.9949354444444445,54250,-47030.0,25034.15185546875,11344,0.06,45,18600.0,53,67,53,53,65,49,53,47,62
2500,0.9947243333333333,21500,-55062.5,24961.9358984375,11802,0.01,47,12200.0,62,53,69,42,70,46,72,48,58
2600,0.9945132222222223,-140000,-56005.0,25121.1469140625,12261,0.05,49,13730.0,61,59,54,68,54,54,73,53,44
2700,0.9943021111111111,80500,-69797.5,25268.030302734376,12690,0.25,54,6570.0,51,63,65,55,45,48,53,50,50
2800,0.994091,46750,-42170.0,25558.36412109375,13179,0.16,37,16480.0,73,60,55,57,61,62,67,72,55
2900,0.9938798888888889,-135000,-50690.0,25590.795,13635,0.29,46,17680.0,51,59,51,54,64,60,59,53,56
