episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
100,0.999791,-157500,-40662.5,18844.848359375,492,0.17,41,21260.0,62,72,58,70,51,63,63,52,63
200,0.9995798888888889,-157000,-47215.0,21128.262958984375,957,0.15,44,17780.0,60,64,48,55,63,63,65,55,52
300,0.9993687777777778,51000,-43892.5,22548.055029296876,1429,0.26,39,16410.0,41,65,53,53,57,65,60,66,53
400,0.9991576666666667,46750,-49567.5,23418.424951171874,1903,0.16,45,17180.0,73,55,61,57,68,62,60,55,56
500,0.9989465555555556,6250,-47052.5,23194.573408203127,2378,0.2,42,16160.0,64,49,52,71,60,66,61,66,50
600,0.9987354444444444,1000,-32002.5,22837.450478515624,2884,0.2,33,22090.0,65,73,68,68,47,69,54,67,60
700,0.9985243333333333,-150000,-66545.0,24035.619287109374,3343,0.08,54,7980.0,48,58,57,55,51,55,62,62,59
800,0.9983132222222222,58750,-47802.5,23240.161865234375,3808,0.23,42,16500.0,69,54,59,59,58,65,60,57,53
900,0.9981021111111111,-185000,-61765.0,24745.813369140626,4249,0.13,53,12700.0,46,58,56,58,57,50,56,52,54
1000,0.997891,83000,-25965.0,23809.717509765625,4726,0.07,33,27070.0,60,67,59,50,62,61,72,62,44
1100,0.9976798888888889,46500,-46342.5,24499.380625,5196,0.16,42,16890.0,62,49,55,58,71,65,55,53,64
1200,0.9974687777777778,-125250,-52885.0,24676.451845703126,5675,0.21,47,15050.0,46,50,53,63,72,55,55,58,73
1300,0.9972576666666667,-167250,-40832.5,24039.189501953126,6164,0.2,42,23000.0,70,69,65,62,57,61,54,62,59
1400,0.9970465555555555,-130500,-47535.0,23548.28375,6648,0.36,42,17690.0,66,47,71,66,53,62,62,64,59
1500,0.9968354444444445,16000,-53792.5,24105.869560546875,7099,0.28,49,17520.0,50,71,48,49,49,60,62,59,53
1600,0.9966243333333333,-7250,-45045.0,24764.41650390625,7581,0.3,39,16530.0,70,46,63,80,57,59,60,63,54
1700,0.9964132222222222,-122000,-40842.5,24687.8028125,8042,0.12,39,19160.0,49,57,44,65,65,49,50,70,61
1800,0.9962021111111111,-7250,-54872.5,24856.80275390625,8501,0.29,46,14000.0,55,45,46,73,58,63,62,59,53
1900,0.995991,-7500,-46985.0,24983.854228515625,8987,0.11,44,17410.0,57,59,65,59,62,69,61,58,53
2000,0.9957798888888889,-127750,-36862.5,24541.495302734376,9472,0.18,37,21500.0,63,59,58,61,54,58,69,61,65
2100,0.9955687777777777,-151500,-30965.0,24303.378291015626,9973,0.2,34,23800.0,60,64,79,58,68,47,67,64,54
2200,0.9953576666666667,12250,-56182.5,25256.4821484375,10435,0.07,48,12330.0,47,70,48,61,64,49,63,60,47
2300,0.9951465555555555,59000,-46207.5,24620.20890625,10897,0.14,44,19900.0,70,56,59,62,44,68,51,58,64
2400,0.9949354444444445,54250,-46982.5,23784.086298828126,11346,0.06,45,18640.0,53,67,52,55,66,48,53,48,60
2500,0.9947243333333333,21500,-53330.0,24687.589521484377,11804,0.01,46,12930.0,63,54,70,42,69,46,72,48,57
2600,0.9945132222222223,-140000,-54122.5,24503.144765625,12263,0.05,48,14560.0,60,59,53,68,55,53,72,56,43
2700,0.9943021111111111,80500,-69955.0,25192.162431640623,12692,0.25,54,6420.0,51,63,64,55,45,50,53,49,50
2800,0.994091,43500,-42620.0,25130.056728515625,13181,0.19,38,17260.0,68,62,56,58,63,58,66,72,54
2900,0.9938798888888889,-135000,-54117.5,25306.48884765625,13631,0.26,48,16130.0,50,57,54,50,66,59,55,53,56
3000,0.9936687777777777,-155000,-36135.0,24291.974990234376,14129,0.3,35,20390.0,53,49,51,68,67,62,63,73,65
3100,0.9934576666666667,72000,-38655.0,23897.72927734375,14615,0.3,39,22800.0,62,53,59,55,50,65,72,64,68
