episode,average_reward,bankruptcy_rate,average_ending_money,average_loan_duration,invalid_action_rate
80000,-14150.0,0.39,42790.0,0.0,0.0
90000,-32775.0,0.45,31240.0,0.09,0.0
100000,-25245.0,0.4,33630.0,0.1,0.0
110000,-34267.5,0.47,31910.0,0.09,0.0
120000,-22162.5,0.4,36240.0,0.12,0.0
