episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
100,0.999791,14500,40081.0,11930.57095703125,596,0.23,5,48290.0,66,89,70,75,66,66,90,73,67
200,0.9995798888888889,58000,39855.0,11801.703173828126,1184,0.26,6,49610.0,82,66,72,73,70,88,78,77,64
300,0.9993687777777778,23250,38116.5,12005.38265625,1757,0.13,12,49460.0,62,51,72,71,78,77,79,71,74
400,0.9991576666666667,123750,35775.5,12239.840361328124,2341,0.16,12,47070.0,78,71,71,67,74,73,78,69,81
500,0.9989465555555556,45250,38655.5,12103.844794921875,2920,0.04,6,47910.0,68,73,75,72,70,78,62,87,62
600,0.9987354444444444,94750,30743.0,11772.006064453126,3499,0.16,12,42720.0,81,64,79,81,82,65,78,71,59
700,0.9985243333333333,19000,38174.0,11604.635205078124,4084,0.1,6,46770.0,80,65,86,69,76,63,82,77,67
800,0.9983132222222222,73750,34365.0,11030.9143359375,4660,0.28,8,46020.0,80,66,74,76,80,76,65,69,70
900,0.9981021111111111,85750,35195.5,10959.4994921875,5249,0.2,5,44480.0,70,86,69,75,67,81,82,68,61
1000,0.997891,30000,31269.0,10932.061494140626,5838,0.16,3,41290.0,90,63,72,65,72,81,81,76,79
1100,0.9976798888888889,90000,34401.5,11035.986943359376,6419,0.09,10,45000.0,79,70,75,80,87,84,62,53,70
1200,0.9974687777777778,12500,40208.0,10954.1272265625,7012,0.33,3,47810.0,61,76,70,78,70,61,83,64,91
1300,0.9972576666666667,59750,38487.5,11026.650283203126,7601,0.16,8,48310.0,75,65,76,72,77,72,76,79,72
1400,0.9970465555555555,9500,35283.5,10895.903671875,8191,0.19,7,44150.0,71,68,70,71,76,84,88,65,68
1500,0.9968354444444445,27000,43613.0,10814.113125,8779,0.08,4,51610.0,76,70,70,83,64,74,67,78,82
1600,0.9966243333333333,31000,37303.5,10627.5701171875,9355,0.22,9,48910.0,88,67,69,66,81,80,70,77,66
1700,0.9964132222222222,42400,32871.5,10675.86119140625,9931,0.22,11,44820.0,77,83,78,71,75,73,58,77,61
1800,0.9962021111111111,-60000,41797.0,10653.141669921875,10524,0.24,6,49580.0,55,69,80,88,77,70,71,72,66
1900,0.995991,16000,37408.0,10651.38572265625,11110,0.15,6,46830.0,65,81,72,69,74,81,58,87,64
2000,0.9957798888888889,80250,36691.0,10854.244677734376,11703,0.31,5,45990.0,71,71,83,68,62,78,79,80,72
2100,0.9955687777777777,32250,40310.0,10947.33607421875,12294,0.1,5,49430.0,95,71,64,65,71,75,90,86,69
2200,0.9953576666666667,17250,39191.0,10736.056181640624,12876,0.23,6,47890.0,62,80,54,64,80,69,78,77,80
2300,0.9951465555555555,53750,34354.5,10940.16716796875,13456,0.38,9,45920.0,72,74,78,60,76,68,67,83,74
2400,0.9949354444444445,9250,32663.0,10900.837021484374,14039,0.07,6,43050.0,73,83,68,64,76,71,67,79,75
2500,0.9947243333333333,12750,31592.5,10550.336630859376,14614,0.09,13,44440.0,85,64,72,63,72,79,65,78,82
2600,0.9945132222222223,60500,42292.5,10684.141728515626,15208,0.04,3,49770.0,77,64,73,75,80,72,87,73,70
2700,0.9943021111111111,62500,26369.0,10776.3251171875,15770,0.11,15,38840.0,51,65,64,67,76,68,77,71,74
2800,0.994091,21500,38039.0,10743.928193359376,16357,0.2,8,47940.0,72,74,68,71,84,67,72,75,76
2900,0.9938798888888889,57000,35658.5,10841.35818359375,16941,0.13,9,45740.0,68,87,59,84,69,72,74,69,70
3000,0.9936687777777777,56000,39372.0,10582.007465820312,17526,0.25,6,48800.0,81,77,67,79,77,69,70,62,84
3100,0.9934576666666667,44000,46227.5,10545.827158203125,18116,0.29,6,53970.0,74,69,83,69,66,72,74,69,88
3200,0.9932465555555555,26500,38769.5,10592.950703125,18704,0.3,6,47350.0,76,58,83,72,76,74,73,66,86
3300,0.9930354444444445,47000,36813.0,10750.357373046874,19289,0.11,6,46100.0,70,70,68,74,61,84,68,86,74
3400,0.9928243333333333,52000,37031.5,10593.697216796874,19872,0.16,7,46550.0,73,67,73,71,80,80,60,81,71
3500,0.9926132222222223,18750,37459.0,10598.744033203126,20459,0.14,4,46480.0,79,71,70,70,81,66,75,80,74
3600,0.9924021111111111,57750,39305.0,10438.52794921875,21041,0.12,7,49300.0,74,62,75,75,83,66,62,87,72
3700,0.992191,19500,41124.5,10517.625673828124,21627,0.18,6,50130.0,66,64,86,72,75,63,75,76,75
3800,0.9919798888888889,23750,34747.5,10677.4680078125,22209,0.2,9,44760.0,69,91,78,61,66,63,73,71,79
3900,0.9917687777777777,102250,39235.0,10556.69140625,22795,0.1,7,48590.0,82,71,69,71,58,91,63,78,85
4000,0.9915576666666667,101750,31432.0,10818.256689453125,23360,0.25,13,43540.0,62,76,75,66,78,54,75,62,79
4100,0.9913465555555555,-4000,31396.5,10384.051103515625,23935,0.1,10,43470.0,80,58,72,62,80,74,67,82,80
4200,0.9911354444444445,106750,46907.0,10584.692626953125,24532,0.14,2,53280.0,61,80,68,73,54,71,82,84,85
4300,0.9909243333333333,-69000,31397.0,10524.98599609375,25105,0.16,9,42390.0,69,74,70,63,72,81,72,71,70
4400,0.9907132222222222,61000,41236.0,10437.91177734375,25699,0.37,4,49840.0,73,73,77,84,78,64,59,81,78
4500,0.9905021111111111,6750,39284.0,10403.1976953125,26284,0.05,6,48560.0,84,72,76,73,76,68,65,84,71
4600,0.990291,97750,35861.0,10344.411811523438,26860,0.13,10,46290.0,65,73,58,72,73,70,78,74,78
4700,0.9900798888888889,32750,40607.5,10420.912353515625,27448,0.06,4,49240.0,81,69,73,77,88,66,58,75,82
4800,0.9898687777777778,22750,43383.5,10509.98046875,28040,0.18,4,51500.0,68,95,65,80,71,59,74,63,85
4900,0.9896576666666667,75500,41038.0,10379.809013671875,28628,0.17,6,49950.0,72,79,73,90,67,69,58,68,84
5000,0.9894465555555556,58750,44908.5,10342.057802734374,29226,0.23,1,51430.0,79,81,70,69,81,78,77,58,84
