seed,epsilon,episode_reward,ending_money,turns_played,loan_turns,loans_taken,invalid_action_count,terminal_reason
42,0.0,-17000.0,14000,6,0,0,4,max_turns_reached
123,0.0,2750.0,34000,6,0,0,4,max_turns_reached
999,0.0,13250.0,42000,6,0,0,4,max_turns_reached
2026,0.0,-260000.0,-135000,1,0,0,0,bankruptcy
31415,0.0,25000.0,54000,6,0,0,4,max_turns_reached
