episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
100,0.999791,1000,-19187.5,11924.881630859374,741,0.55,26,25590.0,88,93,94,83,83,94,101,99,94
200,0.9995798888888889,-4250,-20122.5,11340.775302734375,1469,0.14,28,22950.0,94,93,83,87,100,87,104,92,82
300,0.9993687777777778,13750,-17455.0,11774.304501953126,2192,0.32,27,26870.0,91,97,70,101,113,73,88,85,96
400,0.9991576666666667,93000,-21395.0,11947.0087109375,2929,0.47,29,25490.0,92,92,89,95,100,93,91,85,92
500,0.9989465555555556,6500,-25827.5,11923.39091796875,3642,0.21,31,21860.0,99,84,83,77,77,100,106,94,92
600,0.9987354444444444,-20000,-26150.0,12496.851547851562,4363,0.42,32,24000.0,91,82,92,99,106,77,92,93,80
700,0.9985243333333333,-119000,-33605.0,12158.618090820313,5067,0.21,41,23760.0,91,81,83,96,96,81,96,79,92
800,0.9983132222222222,-12000,-4487.5,12158.642861328124,5812,0.44,20,34090.0,114,86,93,79,94,96,96,86,115
900,0.9981021111111111,17750,-14635.0,12802.257138671876,6529,0.17,28,29550.0,101,97,75,76,110,93,92,86,88
1000,0.997891,-750,-16452.5,12233.686962890624,7269,0.52,25,26720.0,100,87,93,86,100,104,94,90,86
