episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
100,0.999791,11750,-30030.0,22828.2257421875,497,0.24,35,26430.0,57,73,53,68,56,66,64,66,51
200,0.9995798888888889,7750,-48940.0,23777.83974609375,981,0.13,44,15650.0,55,51,54,53,63,64,57,74,68
300,0.9993687777777778,-11000,-52457.5,25458.6725390625,1444,0.26,46,16090.0,58,43,65,47,66,61,57,56,68
