episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
100,0.999791,-157500,-40662.5,23138.166640625,492,0.17,41,21260.0,62,72,58,70,51,63,63,52,63
200,0.9995798888888889,-157000,-47215.0,24004.88380859375,957,0.15,44,17780.0,60,64,48,55,63,63,65,55,52
300,0.9993687777777778,51000,-43892.5,24512.243837890626,1429,0.26,39,16410.0,41,65,53,53,57,65,60,66,53
400,0.9991576666666667,46750,-49567.5,24721.312919921875,1903,0.16,45,17180.0,73,55,61,57,68,62,60,55,56
500,0.9989465555555556,6250,-47052.5,24726.34341796875,2378,0.2,42,16160.0,64,49,52,71,60,66,61,66,50
600,0.9987354444444444,1000,-31657.5,23950.331767578125,2884,0.15,33,22110.0,66,75,68,67,47,69,54,67,59
700,0.9985243333333333,-150000,-65710.0,24665.119462890623,3342,0.08,53,7830.0,49,60,58,54,50,56,63,59,58
800,0.9983132222222222,31250,-55712.5,24355.646259765625,3794,0.26,47,13820.0,61,53,54,59,65,57,59,51,54
900,0.9981021111111111,-185000,-56195.0,25186.8463671875,4251,0.17,49,14180.0,50,55,59,60,59,54,61,51,58
1000,0.997891,83000,-27500.0,24956.0204296875,4726,0.07,34,26640.0,61,68,60,51,62,58,68,64,44
1100,0.9976798888888889,46500,-46242.5,25552.861953125,5196,0.16,42,16990.0,62,49,55,58,71,64,55,53,65
1200,0.9974687777777778,-125250,-52885.0,25527.56642578125,5675,0.21,47,15050.0,46,50,53,63,72,55,55,58,73
1300,0.9972576666666667,-167250,-40972.5,25062.962744140626,6164,0.2,42,22860.0,70,69,66,62,57,61,54,62,58
1400,0.9970465555555555,-130500,-48130.0,24891.71259765625,6648,0.36,42,17290.0,66,49,73,66,53,61,61,63,58
1500,0.9968354444444445,16000,-53982.5,25104.15537109375,7099,0.28,49,17330.0,51,71,50,50,49,60,62,58,51
1600,0.9966243333333333,-7250,-45587.5,26280.93896484375,7581,0.3,39,16010.0,70,46,64,80,56,59,61,62,54
1700,0.9964132222222222,-122000,-40842.5,25536.86025390625,8042,0.12,39,19160.0,49,57,44,65,65,49,50,70,61
1800,0.9962021111111111,-7250,-54912.5,25734.1448828125,8501,0.29,46,13940.0,55,44,45,74,58,63,62,59,54
1900,0.995991,-7500,-46985.0,26126.1305078125,8987,0.11,44,17410.0,57,59,65,59,62,69,61,58,53
2000,0.9957798888888889,-127750,-36862.5,25885.83060546875,9472,0.18,37,21500.0,63,59,58,61,54,58,69,61,65
2100,0.9955687777777777,-151500,-31272.5,24733.8484765625,9973,0.21,34,23810.0,62,63,77,57,68,48,68,64,56
2200,0.9953576666666667,12250,-55825.0,26185.78599609375,10435,0.07,48,12660.0,47,68,50,61,65,49,64,59,46
2300,0.9951465555555555,59000,-46207.5,25952.915390625,10897,0.14,44,19900.0,70,56,59,62,44,68,51,58,64
