model,model_type,average_reward_per_episode,reward_std_dev,best_episode_reward,worst_episode_reward,episodes_evaluated,q_table_size,artifact_path,plot_path
Baseline,Heuristic,-73868.0,81760.47,57000,-241000,1000,N/A,N/A,N/A
Q-Learning,TD Off-Policy,-18732.0,23621.39,-5000,-212000,1000,159,artifacts\models\q_learning_q_table.json,artifacts/plots/q_learning_training_curve.png
SARSA,TD On-Policy,-15664.0,27673.73,20000,-187000,1000,98,artifacts\models\sarsa_q_table.json,artifacts/plots/sarsa_training_curve.png
Monte Carlo,Full-Episode,-16778.0,26615.23,10000,-160000,1000,86,artifacts\models\mc_q_table.json,artifacts/plots/mc_training_curve.png
