episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
100,0.999791,-157500,-40662.5,20852.35880859375,492,0.17,41,21260.0,62,72,58,70,51,63,63,52,63
200,0.9995798888888889,-157000,-47215.0,22470.28322265625,957,0.15,44,17780.0,60,64,48,55,63,63,65,55,52
300,0.9993687777777778,51000,-42242.5,23326.588623046875,1429,0.26,38,17060.0,41,65,53,54,57,65,60,66,52
400,0.9991576666666667,46750,-49567.5,24213.81572265625,1903,0.16,45,17180.0,73,55,61,57,68,62,60,55,56
500,0.9989465555555556,6250,-47052.5,23923.862666015626,2378,0.2,42,16160.0,64,49,52,71,60,66,61,66,50
600,0.9987354444444444,1000,-32002.5,23515.39015625,2884,0.2,33,22090.0,65,73,68,68,47,69,54,67,60
700,0.9985243333333333,-150000,-64250.0,24623.638623046874,3342,0.08,53,9290.0,50,59,57,55,49,55,63,60,60
800,0.9983132222222222,31250,-55712.5,24382.55458984375,3794,0.26,47,13820.0,61,53,54,59,65,57,59,51,54
900,0.9981021111111111,-185000,-56195.0,25024.879326171875,4251,0.17,49,14180.0,50,55,59,60,59,54,61,51,58
1000,0.997891,83000,-27462.5,24511.9747265625,4726,0.07,34,26680.0,61,68,59,51,61,58,69,64,45
1100,0.9976798888888889,46500,-46342.5,25272.14560546875,5196,0.16,42,16890.0,62,49,55,58,71,65,55,53,64
1200,0.9974687777777778,-125250,-52885.0,25313.58896484375,5675,0.21,47,15050.0,46,50,53,63,72,55,55,58,73
1300,0.9972576666666667,-167250,-40832.5,24633.89029296875,6164,0.2,42,23000.0,70,69,65,62,57,61,54,62,59
1400,0.9970465555555555,-130500,-47885.0,24331.3853515625,6648,0.36,42,17530.0,66,49,71,66,53,61,62,63,59
1500,0.9968354444444445,16000,-53792.5,24593.774990234375,7099,0.28,49,17520.0,50,71,48,49,49,60,62,59,53
1600,0.9966243333333333,-7250,-47102.5,26237.27818359375,7581,0.3,40,15510.0,70,46,62,81,56,61,60,61,55
1700,0.9964132222222222,-122000,-40842.5,25459.891748046874,8042,0.12,39,19160.0,49,57,44,65,65,49,50,70,61
1800,0.9962021111111111,-7250,-55142.5,25946.828564453124,8501,0.29,46,13750.0,55,45,45,73,58,63,62,60,53
1900,0.995991,-7500,-46985.0,26686.856181640625,8987,0.11,44,17410.0,57,59,65,59,62,69,61,58,53
2000,0.9957798888888889,-127750,-36862.5,26169.6157421875,9472,0.18,37,21500.0,63,59,58,61,54,58,69,61,65
2100,0.9955687777777777,-151500,-30965.0,24712.55556640625,9973,0.2,34,23800.0,60,64,79,58,68,47,67,64,54
2200,0.9953576666666667,12250,-56052.5,26368.016484375,10435,0.07,48,12460.0,47,68,48,62,64,49,64,59,48
2300,0.9951465555555555,59000,-46207.5,26126.526728515626,10897,0.14,44,19900.0,70,56,59,62,44,68,51,58,64
2400,0.9949354444444445,54250,-46982.5,25097.153779296874,11346,0.06,45,18640.0,53,67,52,55,65,48,53,48,61
2500,0.9947243333333333,21500,-53330.0,25923.767880859374,11804,0.01,46,12930.0,63,54,70,42,69,46,72,48,57
2600,0.9945132222222223,-140000,-54122.5,26048.300166015626,12263,0.05,48,14560.0,60,59,53,68,55,53,72,56,43
2700,0.9943021111111111,80500,-71277.5,26312.74416015625,12690,0.25,55,6120.0,51,63,63,54,45,49,53,49,51
2800,0.994091,46750,-42177.5,26309.34154296875,13179,0.16,37,16470.0,73,60,55,58,61,62,66,71,56
2900,0.9938798888888889,-135000,-50690.0,26357.3941796875,13635,0.29,46,17680.0,51,59,51,54,64,60,59,53,56
3000,0.9936687777777777,-155000,-37515.0,25542.9709375,14131,0.3,36,20120.0,56,48,49,67,68,61,64,73,66
3100,0.9934576666666667,72000,-38990.0,25663.681572265625,14617,0.3,39,22400.0,60,53,58,55,50,66,71,64,69
3200,0.9932465555555555,10500,-41965.0,26765.760244140623,15098,0.16,39,17970.0,65,54,71,60,48,77,49,55,67
3300,0.9930354444444445,-180000,-29432.5,25885.541640625,15606,0.19,34,25560.0,72,62,78,57,61,78,54,60,58
3400,0.9928243333333333,38500,-53895.0,25797.11630859375,16081,0.04,47,13380.0,56,66,67,61,67,58,41,59,56
3500,0.9926132222222223,-149000,-53675.0,26458.689794921876,16533,0.17,48,16400.0,60,59,48,58,69,50,50,68,50
3600,0.9924021111111111,62500,-43505.0,26943.763330078124,17016,0.16,41,18500.0,59,59,57,56,59,54,67,66,65
3700,0.992191,23500,-41745.0,27025.62255859375,17511,0.1,40,18840.0,61,82,65,67,48,64,53,58,58
3800,0.9919798888888889,-143750,-35640.0,26486.735146484374,18004,0.4,37,24490.0,57,76,60,59,52,59,54,76,57
3900,0.9917687777777777,38750,-43520.0,26831.89353515625,18482,0.22,40,18300.0,71,67,61,49,64,57,76,56,48
4000,0.9915576666666667,-1000,-61102.5,26352.853486328124,18944,0.17,49,9810.0,53,67,48,51,60,54,64,52,66
4100,0.9913465555555555,-156000,-57835.0,26902.803447265625,19404,0.32,47,11810.0,58,57,52,47,62,47,54,72,69
4200,0.9911354444444445,-131250,-31572.5,26108.784140625,19897,0.08,37,25490.0,57,66,55,61,67,64,64,60,56
