episode,average_reward,bankruptcy_rate,average_ending_money,average_loan_duration,invalid_action_rate
5,-12000.0,0.0,25000.0,0.0,1.0
10,-12000.0,0.0,25000.0,0.0,1.0
15,-12000.0,0.0,25000.0,0.0,1.0
