episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
100,0.999791,-157500,-40662.5,16017.10537109375,492,0.17,41,21260.0,62,72,58,70,51,63,63,52,63
200,0.9995798888888889,-157000,-47215.0,17068.849814453126,957,0.15,44,17780.0,60,64,48,55,63,63,65,55,52
300,0.9993687777777778,51000,-42242.5,18447.873505859374,1429,0.26,38,17060.0,41,65,53,53,57,66,60,66,52
400,0.9991576666666667,46750,-49567.5,19163.507578125,1903,0.16,45,17180.0,73,55,61,57,68,62,60,55,56
500,0.9989465555555556,6250,-47052.5,20162.06517578125,2378,0.2,42,16160.0,64,49,52,71,60,66,61,66,50
600,0.9987354444444444,1000,-32002.5,20282.384150390626,2884,0.2,33,22090.0,65,73,68,68,47,69,54,67,60
700,0.9985243333333333,-150000,-64300.0,20705.649814453125,3342,0.08,53,9240.0,50,59,57,55,50,55,63,60,59
800,0.9983132222222222,31250,-55712.5,21083.715166015623,3794,0.26,47,13820.0,61,53,54,59,65,57,59,51,54
900,0.9981021111111111,-185000,-56195.0,21587.44232421875,4251,0.17,49,14180.0,50,55,59,60,59,54,61,51,58
1000,0.997891,83000,-27462.5,21202.090888671875,4726,0.07,34,26680.0,61,68,59,51,61,58,69,64,45
1100,0.9976798888888889,46500,-46342.5,22069.25646484375,5196,0.16,42,16890.0,62,49,55,59,71,64,55,53,64
1200,0.9974687777777778,-125250,-52885.0,22442.94919921875,5675,0.21,47,15050.0,46,50,53,63,72,55,55,58,73
1300,0.9972576666666667,-167250,-42677.5,21986.95642578125,6164,0.2,43,22230.0,71,68,63,66,57,61,54,61,59
1400,0.9970465555555555,-130500,-47535.0,21616.18693359375,6648,0.36,42,17690.0,66,47,71,67,53,61,62,64,59
1500,0.9968354444444445,16000,-54182.5,21612.327548828125,7099,0.28,49,17100.0,49,74,49,52,48,60,64,56,48
1600,0.9966243333333333,-7250,-45055.0,23234.355234375,7581,0.3,39,16520.0,70,46,62,80,57,59,60,63,55
1700,0.9964132222222222,-122000,-40842.5,22597.2299609375,8042,0.12,39,19160.0,49,57,44,65,65,49,50,70,61
1800,0.9962021111111111,-7250,-55142.5,22514.656396484374,8501,0.29,46,13750.0,55,45,45,73,58,63,62,60,53
1900,0.995991,-7500,-46985.0,23592.5898046875,8987,0.11,44,17410.0,57,59,65,59,62,69,61,58,53
2000,0.9957798888888889,-127750,-36862.5,23020.12787109375,9472,0.18,37,21500.0,63,59,58,61,54,58,69,61,65
2100,0.9955687777777777,-151500,-30965.0,22022.472939453124,9973,0.2,34,23800.0,60,64,79,58,68,47,67,64,54
2200,0.9953576666666667,12250,-55825.0,23222.9175390625,10435,0.07,48,12660.0,47,68,50,61,65,49,64,59,46
2300,0.9951465555555555,59000,-46457.5,23182.071611328123,10897,0.14,44,19650.0,70,56,59,62,44,68,52,58,63
2400,0.9949354444444445,54250,-46982.5,21971.08162109375,11346,0.06,45,18640.0,53,67,52,55,66,48,53,48,60
2500,0.9947243333333333,21500,-53330.0,23087.619814453126,11804,0.01,46,12930.0,63,54,70,42,69,46,72,48,57
2600,0.9945132222222223,-140000,-54122.5,23108.944794921874,12263,0.05,48,14560.0,60,59,53,68,55,53,72,57,42
2700,0.9943021111111111,80500,-69955.0,23510.419150390626,12692,0.25,54,6420.0,51,63,64,55,45,50,53,49,50
2800,0.994091,43500,-42440.0,23524.18876953125,13184,0.22,38,17510.0,71,61,57,60,65,58,68,73,50
2900,0.9938798888888889,-135000,-52480.0,23406.023486328126,13636,0.26,47,16660.0,49,58,51,52,66,58,58,53,56
3000,0.9936687777777777,-155000,-39437.5,22738.042744140625,14130,0.3,37,19220.0,55,47,50,68,65,60,63,73,68
