episode,average_reward,bankruptcy_rate,average_ending_money,average_loan_duration,invalid_action_rate
10000,-27105.0,0.5,43670.0,0.23,0.01639344262295082
20000,-27622.5,0.5,42050.0,0.07,0.035629453681710214
30000,-30432.5,0.53,43250.0,0.05,0.06377551020408163
40000,-54745.0,0.57,23370.0,0.16,0.03201970443349754
50000,-9985.0,0.43,52630.0,0.13,0.041304347826086954
