episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
100,0.999791,-157500,-40662.5,17866.949326171874,492,0.17,41,21260.0,62,72,58,70,51,63,63,52,63
200,0.9995798888888889,-157000,-47215.0,19360.184482421875,957,0.15,44,17780.0,60,64,48,55,63,63,65,55,52
300,0.9993687777777778,51000,-43892.5,19912.043369140625,1429,0.26,39,16410.0,41,65,53,53,57,65,60,66,53
400,0.9991576666666667,46750,-49567.5,20565.133447265624,1903,0.16,45,17180.0,73,55,61,57,68,62,60,55,56
500,0.9989465555555556,6250,-47052.5,21065.425791015627,2378,0.2,42,16160.0,64,49,52,71,60,66,61,66,50
600,0.9987354444444444,1000,-32002.5,21049.572880859374,2884,0.2,33,22090.0,65,73,68,68,47,69,54,67,60
700,0.9985243333333333,-150000,-61385.0,21685.172607421875,3343,0.09,50,9380.0,49,56,58,50,53,57,60,67,58
800,0.9983132222222222,58750,-47802.5,21382.033486328124,3808,0.23,42,16500.0,69,54,59,59,58,65,60,57,53
900,0.9981021111111111,-185000,-61765.0,22826.3485546875,4249,0.13,53,12700.0,46,58,56,58,57,50,56,52,54
1000,0.997891,83000,-25965.0,22051.245537109375,4726,0.07,33,27070.0,60,67,59,50,62,61,72,62,44
1100,0.9976798888888889,46500,-46342.5,22909.610869140626,5196,0.16,42,16890.0,62,49,55,58,71,65,55,53,64
1200,0.9974687777777778,-125250,-52885.0,23291.977744140626,5675,0.21,47,15050.0,46,50,53,63,72,55,55,58,73
1300,0.9972576666666667,-167250,-42962.5,22937.4654296875,6164,0.2,43,21910.0,70,68,65,63,58,61,54,61,59
1400,0.9970465555555555,-130500,-47375.0,22217.891513671875,6648,0.36,42,18040.0,66,47,71,66,53,61,62,65,59
1500,0.9968354444444445,16000,-54182.5,22501.234296875,7099,0.28,49,17100.0,49,74,49,52,48,60,64,56,48
1600,0.9966243333333333,-7250,-47012.5,23315.844775390626,7580,0.3,40,15570.0,69,46,62,80,56,60,61,62,54
1700,0.9964132222222222,-122000,-38125.0,23508.28283203125,8045,0.12,38,20740.0,49,60,46,63,67,52,47,70,60
1800,0.9962021111111111,-7250,-57625.0,22933.813447265624,8501,0.25,48,13010.0,56,45,43,73,59,63,61,58,54
1900,0.995991,-7500,-46985.0,23500.731962890626,8987,0.11,44,17410.0,57,59,65,59,62,69,61,58,53
2000,0.9957798888888889,-127750,-36862.5,23084.4094921875,9472,0.18,37,21500.0,63,59,58,61,54,58,69,61,65
2100,0.9955687777777777,-151500,-30965.0,22711.1952734375,9973,0.2,34,23800.0,60,64,79,58,68,47,67,64,54
2200,0.9953576666666667,12250,-56182.5,23567.69171875,10435,0.07,48,12330.0,47,70,48,61,64,49,63,60,47
2300,0.9951465555555555,59000,-46557.5,23447.0163671875,10897,0.14,44,19550.0,70,56,59,63,44,68,51,58,63
2400,0.9949354444444445,54250,-46982.5,22798.59849609375,11346,0.06,45,18640.0,53,67,52,55,66,48,53,48,60
2500,0.9947243333333333,21500,-53330.0,23450.63580078125,11804,0.01,46,12930.0,63,54,70,42,69,46,72,48,57
2600,0.9945132222222223,-140000,-52865.0,23486.29345703125,12265,0.05,47,14780.0,60,60,53,69,55,53,73,56,42
2700,0.9943021111111111,80500,-69152.5,23951.579775390626,12694,0.25,54,7230.0,51,63,62,58,45,49,52,51,49
2800,0.994091,43500,-42492.5,24721.35634765625,13183,0.19,38,17310.0,67,64,57,59,64,56,68,71,50
2900,0.9938798888888889,-135000,-52390.0,23883.14576171875,13635,0.26,47,16750.0,49,58,52,51,66,58,59,52,56
3000,0.9936687777777777,-155000,-37515.0,23885.162216796874,14131,0.3,36,20120.0,56,48,49,67,68,61,64,73,66
3100,0.9934576666666667,67000,-38492.5,23211.5239453125,14617,0.3,39,22870.0,60,53,58,53,52,65,72,65,68
3200,0.9932465555555555,10500,-39682.5,24732.53908203125,15099,0.16,38,19220.0,65,56,71,60,47,78,50,54,66
3300,0.9930354444444445,-180000,-31630.0,24314.517451171876,15605,0.19,35,24420.0,72,63,78,56,59,78,54,59,59
3400,0.9928243333333333,38500,-53632.5,23430.524609375,16080,0.04,47,13670.0,56,64,68,61,67,59,42,58,56
3500,0.9926132222222223,-149000,-56250.0,24698.2037109375,16531,0.17,49,14850.0,59,58,48,58,67,52,51,69,48
3600,0.9924021111111111,62500,-44132.5,24782.115537109374,17013,0.16,42,18900.0,60,59,59,58,58,54,67,65,62
3700,0.992191,68750,-43165.0,24402.172841796873,17504,0.1,40,17570.0,63,80,60,68,52,63,53,61,54
3800,0.9919798888888889,-143750,-41585.0,24614.60810546875,17991,0.36,40,21270.0,53,70,57,63,49,59,60,72,57
3900,0.9917687777777777,38750,-43680.0,25091.370302734376,18474,0.24,41,19280.0,71,66,62,50,62,56,71,64,52
4000,0.9915576666666667,-1000,-62672.5,25244.102373046873,18924,0.1,51,9770.0,51,62,46,51,62,45,64,55,65
4100,0.9913465555555555,-156000,-58255.0,25093.59326171875,19387,0.32,46,10420.0,60,55,49,50,62,49,54,73,71
4200,0.9911354444444445,-131250,-33890.0,24913.54837890625,19878,0.1,38,24420.0,56,68,49,62,73,58,66,62,53
4300,0.9909243333333333,-225000,-42287.5,24875.043466796877,20376,0.25,38,17570.0,66,73,62,51,64,64,64,53,67
4400,0.9907132222222222,-119500,-38110.0,25898.057275390624,20842,0.17,41,24350.0,59,56,58,57,60,55,70,57,53
4500,0.9905021111111111,79000,-37965.0,24649.339951171874,21326,0.06,40,22190.0,67,65,56,58,62,50,67,65,61
4600,0.990291,7000,-31225.0,25412.8980859375,21801,0.11,36,25030.0,59,52,57,72,56,64,44,68,62
4700,0.9900798888888889,-135750,-26045.0,25908.330625,22319,0.31,31,26750.0,63,66,63,69,74,60,55,61,70
4800,0.9898687777777778,-164000,-52367.5,25982.619296875,22780,0.17,45,13960.0,54,55,60,68,42,65,52,64,55
4900,0.9896576666666667,-129000,-34320.0,25476.899150390625,23263,0.06,40,25560.0,57,65,58,51,58,66,72,58,55
5000,0.9894465555555556,46000,-36112.5,25060.47701171875,23748,0.13,40,24300.0,55,70,57,67,56,59,62,57,57
5100,0.9892354444444444,-129250,-32837.5,26464.68453125,24238,0.07,38,25470.0,59,64,70,53,52,67,57,62,65
5200,0.9890243333333333,-16250,-35360.0,24540.125732421875,24713,0.19,39,24610.0,55,49,62,65,61,53,66,52,67
5300,0.9888132222222222,81750,-41022.5,24651.96416015625,25196,0.1,41,20540.0,57,67,65,68,50,64,49,55,65
5400,0.9886021111111111,-150000,-36367.5,25310.20328125,25659,0.21,38,23300.0,55,52,54,58,64,55,57,66,57
5500,0.988391,40250,-51540.0,25107.36001953125,26115,0.18,45,15400.0,54,68,54,67,59,48,52,50,58
5600,0.9881798888888889,-155000,-51797.5,25277.45623046875,26566,0.12,46,15650.0,56,50,47,61,61,55,53,62,62
5700,0.9879687777777778,55750,-51752.5,25530.429560546876,27010,0.16,47,16870.0,49,55,52,49,64,61,55,54,54
5800,0.9877576666666666,-179000,-44107.5,26228.943037109377,27476,0.21,42,19640.0,60,60,66,47,58,52,54,64,65
5900,0.9875465555555556,21000,-44620.0,24890.3285546875,27959,0.02,42,17620.0,66,65,59,71,65,55,46,61,61
6000,0.9873354444444444,-148500,-31880.0,25363.40095703125,28454,0.15,38,26910.0,57,60,47,61,59,68,78,53,69
6100,0.9871243333333334,36000,-53180.0,25710.98013671875,28913,0.25,45,13800.0,53,41,51,59,60,53,58,65,72
6200,0.9869132222222222,32750,-53980.0,25868.94546875,29364,0.26,47,14570.0,41,56,47,66,56,58,58,57,53
6300,0.9867021111111111,-132250,-39097.5,26124.1314453125,29839,0.02,40,19620.0,39,63,59,56,65,60,47,56,69
6400,0.986491,26750,-51165.0,25392.04349609375,30302,0.14,46,16090.0,66,63,66,49,64,43,58,58,62
6500,0.9862798888888888,25500,-52055.0,26083.49181640625,30755,0.09,46,14900.0,54,59,49,55,51,62,49,69,59
6600,0.9860687777777778,-144000,-38300.0,25398.783662109374,31233,0.21,38,21100.0,59,60,66,57,51,60,60,63,61
6700,0.9858576666666666,22500,-37067.5,25847.1712890625,31697,0.12,39,23090.0,62,63,63,51,56,62,57,52,60
6800,0.9856465555555556,34000,-63112.5,25454.75505859375,32153,0.14,51,9870.0,61,59,54,56,60,52,51,57,67
6900,0.9854354444444444,34750,-46390.0,25618.62408203125,32620,0.2,42,16630.0,56,61,55,61,54,55,63,59,59
7000,0.9852243333333334,37750,-39140.0,25987.904345703126,33073,0.18,40,22520.0,53,49,79,63,37,46,44,65,70
7100,0.9850132222222222,-174000,-64222.5,25452.751591796874,33525,0.12,51,7720.0,48,50,59,50,54,56,50,65,68
7200,0.9848021111111112,18250,-47402.5,25832.7074609375,33995,0.08,45,17640.0,49,61,62,42,51,66,54,64,70
7300,0.984591,-125750,-47842.5,25589.849052734375,34476,0.08,43,16240.0,73,53,64,64,52,53,62,57,76
7400,0.9843798888888889,-140000,-33117.5,24714.34546875,34960,0.14,36,23650.0,69,58,61,66,51,50,72,60,66
7500,0.9841687777777778,39500,-44050.0,26571.67193359375,35435,0.17,44,20730.0,54,63,61,58,58,61,61,59,54
7600,0.9839576666666666,-5250,-32267.5,25816.355908203124,35912,0.21,37,25640.0,53,59,63,50,51,66,53,55,80
7700,0.9837465555555556,-145000,-46042.5,25912.2543359375,36376,0.07,43,17130.0,55,58,60,52,57,58,62,61,56
7800,0.9835354444444444,11750,-44695.0,25248.400400390627,36842,0.15,39,16030.0,60,58,57,51,56,71,50,62,61
7900,0.9833243333333334,-166000,-33347.5,24762.308720703124,37356,0.28,37,24770.0,58,66,55,60,68,68,63,61,73
8000,0.9831132222222222,64000,-51515.0,25111.72181640625,37839,0.18,46,15430.0,44,65,41,58,54,64,58,81,62
8100,0.9829021111111111,-171750,-63700.0,24641.11681640625,38302,0.06,55,11450.0,50,56,58,55,58,62,50,52,72
8200,0.982691,88500,-36000.0,25513.015498046876,38796,0.2,37,22390.0,61,62,68,78,68,41,63,49,65
8300,0.9824798888888889,16750,-37697.5,26078.800517578125,39280,0.11,37,19570.0,58,57,67,65,52,69,53,61,60
8400,0.9822687777777778,-129000,-44530.0,25101.795859375,39757,0.23,43,19730.0,56,65,65,65,69,41,39,65,68
8500,0.9820576666666667,36500,-56957.5,25314.264619140624,40200,0.06,49,13240.0,66,53,59,56,55,49,61,41,69
8600,0.9818465555555556,49750,-27255.0,25691.01080078125,40694,0.23,34,27640.0,64,59,71,65,60,60,65,55,59
8700,0.9816354444444444,-170250,-27992.5,24747.144853515623,41169,0.31,34,27880.0,54,49,64,59,65,63,62,61,52
8800,0.9814243333333333,41500,-60857.5,25010.59263671875,41621,0.24,50,11600.0,61,51,57,58,49,58,66,59,54
8900,0.9812132222222222,65750,-32717.5,24749.11587890625,42120,0.29,35,24050.0,54,67,63,59,60,54,57,74,65
9000,0.9810021111111111,-154500,-63867.5,25421.702001953126,42558,0.21,52,10230.0,56,58,47,45,58,61,51,52,66
9100,0.980791,90250,-26505.0,25251.9171484375,43034,0.07,37,30230.0,46,61,63,59,56,49,51,64,73
9200,0.9805798888888889,32000,-48772.5,24592.9766015625,43492,0.11,43,15750.0,63,53,61,51,51,55,59,57,71
9300,0.9803687777777778,25750,-49057.5,25214.4799609375,43969,0.17,43,15260.0,63,55,64,62,71,43,53,60,69
9400,0.9801576666666667,30000,-48212.5,24207.08056640625,44426,0.12,44,16830.0,57,79,47,62,47,43,55,61,63
9500,0.9799465555555555,7000,-36820.0,24961.016962890626,44896,0.15,37,21920.0,71,57,71,50,51,56,60,61,64
9600,0.9797354444444445,45000,-35637.5,24359.0265625,45381,0.22,36,21660.0,58,58,55,53,62,61,66,57,73
9700,0.9795243333333333,24000,-32007.5,24354.4912109375,45878,0.18,36,25170.0,71,65,66,59,55,61,61,58,72
9800,0.9793132222222223,-140000,-68810.0,25304.766123046877,46311,0.22,55,8150.0,50,61,44,56,55,50,49,60,58
9900,0.9791021111111111,12000,-44560.0,24922.255966796874,46788,0.28,42,18850.0,46,49,55,66,56,67,61,57,66
10000,0.978891,2000,-33830.0,24878.02611328125,47276,0.31,34,22300.0,61,59,62,56,63,71,57,51,69
10100,0.9786798888888889,20500,-37980.0,24868.20935546875,47761,0.07,40,22200.0,60,66,65,51,61,49,63,62,68
10200,0.9784687777777777,-8000,-45605.0,25439.3639453125,48215,0.21,44,20010.0,57,53,57,64,62,43,55,53,67
10300,0.9782576666666667,42250,-53695.0,25659.404921875,48682,0.17,46,13440.0,51,44,64,62,50,67,44,73,63
10400,0.9780465555555555,54250,-44612.5,24608.68599609375,49147,0.17,42,19550.0,73,46,64,60,68,64,35,56,72
10500,0.9778354444444445,-5000,-51000.0,24323.941689453124,49621,0.23,44,14680.0,63,60,61,66,56,42,64,63,62
10600,0.9776243333333333,56000,-60132.5,25115.77759765625,50060,0.24,49,11880.0,67,47,68,46,53,57,50,52,66
10700,0.9774132222222223,-140000,-34545.0,24633.91009765625,50580,0.18,37,23230.0,62,70,60,61,75,53,67,57,77
10800,0.9772021111111111,67250,-36425.0,25091.3128515625,51052,0.27,37,22120.0,47,71,68,55,65,48,47,63,55
10900,0.976991,-155000,-36190.0,24663.51203125,51520,0.18,39,23380.0,41,61,59,56,60,55,55,54,68
11000,0.9767798888888889,47500,-49395.0,24452.747978515625,52003,0.29,44,17030.0,64,58,55,50,66,62,50,66,76
11100,0.9765687777777777,28500,-52190.0,25296.055732421875,52488,0.27,43,13440.0,76,65,63,59,60,66,49,61,62
11200,0.9763576666666667,42250,-23432.5,25094.147744140624,52991,0.29,33,31030.0,63,56,58,58,64,75,73,53,66
11300,0.9761465555555555,50000,-55177.5,24867.0837890625,53435,0.07,49,14610.0,57,54,49,57,57,48,58,62,59
11400,0.9759354444444445,-165000,-31602.5,24108.582763671875,53925,0.18,36,25240.0,60,58,60,66,61,61,57,62,65
11500,0.9757243333333333,54000,-30397.5,24545.94927734375,54403,0.08,37,26720.0,57,74,60,55,53,55,61,64,56
11600,0.9755132222222223,-189000,-46682.5,24398.451943359374,54872,0.15,43,17350.0,53,67,55,63,58,55,57,47,67
11700,0.9753021111111111,28250,-48542.5,24558.06439453125,55337,0.25,43,16510.0,50,57,60,78,57,54,54,49,56
11800,0.975091,-159250,-41940.0,24412.337470703125,55798,0.06,43,21380.0,55,50,71,60,49,66,41,53,71
11900,0.9748798888888889,27500,-53652.5,25306.658115234375,56276,0.05,49,15430.0,61,48,64,49,72,55,77,48,65
12000,0.9746687777777778,32250,-45717.5,24573.65966796875,56751,0.19,42,17640.0,57,67,59,48,51,66,59,54,71
12100,0.9744576666666667,56250,-58452.5,24585.52818359375,57211,0.11,49,11730.0,67,50,48,63,72,50,70,50,57
12200,0.9742465555555555,14000,-37812.5,25245.92357421875,57705,0.3,39,22720.0,44,60,62,54,66,68,70,60,54
12300,0.9740354444444445,28500,-46335.0,23908.610302734374,58173,0.19,44,19310.0,70,43,63,57,58,49,44,76,78
12400,0.9738243333333333,8000,-43245.0,24439.089326171874,58645,0.18,43,21050.0,48,55,69,52,63,64,57,52,60
