seed,epsilon,episode_reward,ending_money,turns_played,loan_turns,loans_taken,invalid_action_count,terminal_reason
42,0.0,65000.0,65000,6,0,0,0,max_turns_reached
123,0.0,100750.0,101000,6,0,0,0,max_turns_reached
999,0.0,71500.0,66000,6,0,0,0,max_turns_reached
2026,0.0,-70250.0,-5000,1,0,0,0,bankruptcy
31415,0.0,65500.0,70000,6,0,0,0,max_turns_reached
