episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
100,0.999791,-157500,-40662.5,22213.000908203125,492,0.17,41,21260.0,62,72,58,70,51,63,63,52,63
200,0.9995798888888889,-157000,-47215.0,23740.16775390625,957,0.15,44,17780.0,60,64,48,55,63,63,65,55,52
300,0.9993687777777778,51000,-42105.0,24410.13052734375,1429,0.27,39,18180.0,42,64,52,57,56,62,60,67,54
400,0.9991576666666667,46750,-49567.5,24772.053134765625,1903,0.16,45,17180.0,73,55,61,57,68,62,60,55,56
500,0.9989465555555556,6250,-47052.5,24592.88111328125,2378,0.2,42,16160.0,64,49,52,71,60,66,61,66,50
600,0.9987354444444444,1000,-32002.5,24392.36716796875,2884,0.2,33,22090.0,65,73,68,68,48,69,54,67,59
700,0.9985243333333333,-150000,-58742.5,24966.96830078125,3344,0.09,49,11030.0,51,55,57,53,55,56,62,66,56
800,0.9983132222222222,31250,-56890.0,23804.32359375,3794,0.24,47,12400.0,60,54,55,59,62,58,57,51,54
900,0.9981021111111111,-185000,-56195.0,25119.427724609373,4251,0.17,49,14180.0,50,55,59,60,59,54,61,51,58
1000,0.997891,83000,-27470.0,25242.25380859375,4726,0.07,34,26670.0,61,69,59,51,62,58,68,63,45
1100,0.9976798888888889,46500,-46042.5,25350.5932421875,5196,0.16,42,17190.0,62,49,55,58,72,64,56,53,63
1200,0.9974687777777778,-2250,-52855.0,25284.9993359375,5674,0.21,47,15120.0,47,50,52,63,74,55,55,57,72
1300,0.9972576666666667,-167250,-41095.0,25234.525615234375,6163,0.16,43,23530.0,73,69,66,62,59,61,52,61,59
1400,0.9970465555555555,-130500,-48307.5,24246.60279296875,6648,0.36,42,17200.0,68,51,71,65,54,62,59,64,59
1500,0.9968354444444445,16000,-53792.5,24996.536240234374,7099,0.28,49,17520.0,50,71,48,49,49,60,62,59,53
1600,0.9966243333333333,-7250,-45055.0,26034.61705078125,7581,0.3,39,16520.0,70,46,62,80,57,59,60,63,55
1700,0.9964132222222222,-122000,-40842.5,25768.25611328125,8042,0.12,39,19160.0,49,57,44,65,67,49,50,70,59
1800,0.9962021111111111,-7250,-55142.5,25933.697509765625,8501,0.29,46,13750.0,55,45,45,73,58,63,62,60,53
1900,0.995991,-7500,-46985.0,25923.7059375,8987,0.11,44,17410.0,57,59,65,59,62,69,61,58,53
2000,0.9957798888888889,-127750,-36912.5,24897.63005859375,9472,0.18,37,21450.0,63,59,58,61,56,58,69,61,63
2100,0.9955687777777777,-151500,-33930.0,24932.70591796875,9970,0.2,36,22910.0,59,62,76,58,70,48,66,64,54
2200,0.9953576666666667,12250,-52142.5,25587.893701171874,10433,0.07,47,15180.0,45,69,50,60,63,49,63,60,49
2300,0.9951465555555555,59000,-46977.5,26283.66201171875,10895,0.18,44,19480.0,71,55,61,61,46,66,50,55,68
2400,0.9949354444444445,54250,-47030.0,25135.49841796875,11344,0.06,45,18600.0,53,67,53,53,65,49,53,47,62
2500,0.9947243333333333,21500,-55062.5,25063.33603515625,11802,0.01,47,12200.0,62,53,69,42,70,46,72,48,58
2600,0.9945132222222223,-140000,-56005.0,25465.51669921875,12261,0.05,49,13730.0,61,59,54,68,55,54,73,53,43
2700,0.9943021111111111,80500,-69797.5,25622.830048828124,12690,0.25,54,6570.0,51,63,65,55,45,48,53,50,50
2800,0.994091,46750,-42177.5,25572.55232421875,13179,0.16,37,16470.0,73,60,55,58,61,62,66,71,56
2900,0.9938798888888889,-135000,-50690.0,25786.639716796875,13635,0.29,46,17680.0,51,59,51,54,64,60,59,53,56
3000,0.9936687777777777,-155000,-37515.0,25597.08548828125,14131,0.3,36,20120.0,56,48,49,67,68,61,64,73,66
3100,0.9934576666666667,67000,-38987.5,25470.41306640625,14617,0.3,39,22390.0,60,53,58,54,53,64,72,66,66
3200,0.9932465555555555,10500,-40760.0,25289.26736328125,15098,0.17,38,18370.0,65,55,71,60,49,77,49,55,65
3300,0.9930354444444445,-180000,-31580.0,24165.578798828126,15604,0.19,35,24470.0,72,63,78,56,62,78,54,59,56
3400,0.9928243333333333,38500,-52190.0,25245.164228515627,16073,0.04,46,14230.0,57,62,67,58,65,58,42,58,59
3500,0.9926132222222223,-149000,-58237.5,25823.234873046877,16520,0.12,50,13590.0,57,57,49,59,64,55,50,64,49
3600,0.9924021111111111,62500,-41667.5,25189.76158203125,17001,0.16,41,20390.0,61,58,56,61,57,57,66,64,62
3700,0.992191,68750,-45042.5,26016.7415625,17492,0.09,42,17550.0,67,77,56,70,54,63,55,63,53
3800,0.9919798888888889,17250,-48322.5,25402.4659765625,17971,0.33,42,16170.0,55,69,64,61,48,65,54,66,52
3900,0.9917687777777777,38750,-43267.5,25716.77353515625,18452,0.24,41,19360.0,62,67,69,51,56,56,65,64,53
4000,0.9915576666666667,-1000,-61490.0,25845.82837890625,18909,0.15,49,9210.0,50,64,43,44,66,49,65,59,67
4100,0.9913465555555555,-136000,-55537.5,25988.66443359375,19372,0.32,45,11940.0,53,51,53,48,63,49,52,69,78
4200,0.9911354444444445,-131250,-33637.5,25450.848701171875,19862,0.08,38,24170.0,54,65,47,64,71,63,62,61,57
4300,0.9909243333333333,-225000,-39467.5,24465.909892578125,20359,0.25,38,20440.0,66,70,63,54,58,56,69,57,70
4400,0.9907132222222222,-119500,-41802.5,25323.6425,20824,0.17,44,23480.0,53,57,57,53,60,59,72,51,56
