episode,average_reward,bankruptcy_rate,average_ending_money,average_loan_duration,invalid_action_rate
15000,46092.0,0.08,52610.0,0.16,0.036521739130434785
25000,46596.5,0.13,56850.0,0.23,0.04144144144144144
35000,71243.5,0.05,75650.0,0.13,0.0
45000,79687.0,0.01,80820.0,0.02,0.0
55000,76329.5,0.01,78630.0,0.12,0.0
