episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
100,0.999791,-157500,-40662.5,17665.1449609375,492,0.17,41,21260.0,62,72,58,70,51,63,63,52,63
200,0.9995798888888889,-157000,-47215.0,19601.009619140626,957,0.15,44,17780.0,60,64,48,55,63,63,65,55,52
300,0.9993687777777778,51000,-43892.5,20743.218671875,1429,0.26,39,16410.0,41,65,53,53,57,65,60,66,53
400,0.9991576666666667,46750,-49567.5,21360.95306640625,1903,0.16,45,17180.0,73,55,61,57,68,62,60,55,56
500,0.9989465555555556,6250,-47052.5,21461.639033203126,2378,0.2,42,16160.0,64,49,52,71,60,66,61,66,50
600,0.9987354444444444,1000,-32002.5,21426.138994140623,2884,0.2,33,22090.0,65,73,68,68,47,69,54,67,60
700,0.9985243333333333,-150000,-64250.0,21934.19126953125,3342,0.08,53,9290.0,50,59,57,55,49,55,63,60,60
800,0.9983132222222222,31250,-55712.5,21978.54666015625,3794,0.26,47,13820.0,61,53,54,59,65,57,59,51,54
900,0.9981021111111111,-185000,-56195.0,22714.864228515624,4251,0.17,49,14180.0,50,55,59,60,59,54,61,51,58
1000,0.997891,83000,-27462.5,22234.390400390625,4726,0.07,34,26680.0,61,68,59,51,61,58,69,64,45
1100,0.9976798888888889,46500,-46342.5,23188.39837890625,5196,0.16,42,16890.0,62,49,55,58,71,65,55,53,64
1200,0.9974687777777778,-125250,-52885.0,23285.699130859375,5675,0.21,47,15050.0,46,50,53,63,72,55,55,58,73
1300,0.9972576666666667,-167250,-42635.0,22883.0134765625,6165,0.19,43,22240.0,72,67,66,63,57,62,54,62,59
1400,0.9970465555555555,-130500,-47417.5,22465.9209765625,6648,0.36,42,17900.0,68,47,69,66,53,63,61,65,59
1500,0.9968354444444445,16000,-53792.5,22995.484609375,7099,0.28,49,17520.0,50,71,48,49,49,60,62,59,53
1600,0.9966243333333333,-7250,-45045.0,24343.663818359375,7581,0.3,39,16530.0,70,46,63,80,57,59,60,63,54
1700,0.9964132222222222,-122000,-40842.5,24074.243779296874,8042,0.12,39,19160.0,49,57,44,65,65,49,50,70,61
