episode,average_reward,bankruptcy_rate,average_ending_money,average_loan_duration,invalid_action_rate
10000,-36462.5,0.53,36580.0,0.1,0.030232558139534883
20000,-19385.0,0.46,46570.0,0.16,0.027777777777777776
30000,-28380.0,0.53,44700.0,0.03,0.04639175257731959
40000,-42457.5,0.55,33350.0,0.16,0.02493765586034913
50000,-14102.5,0.47,52510.0,0.15,0.002197802197802198
