episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
100,0.999791,-157500,-40662.5,16416.0248046875,492,0.17,41,21260.0,62,72,58,70,51,63,63,52,63
200,0.9995798888888889,-157000,-47215.0,19188.365244140627,957,0.15,44,17780.0,60,64,48,55,63,63,65,55,52
300,0.9993687777777778,51000,-43892.5,20361.95091796875,1429,0.26,39,16410.0,41,65,53,53,57,65,60,66,53
400,0.9991576666666667,46750,-49567.5,21020.976201171874,1903,0.16,45,17180.0,73,55,61,57,68,62,60,55,56
500,0.9989465555555556,6250,-47052.5,21174.097666015627,2378,0.2,42,16160.0,64,49,52,71,60,66,61,66,50
600,0.9987354444444444,1000,-32002.5,21336.5231640625,2884,0.2,33,22090.0,65,73,68,68,47,69,54,67,60
700,0.9985243333333333,-150000,-61385.0,21810.58328125,3343,0.09,50,9380.0,49,56,58,51,53,57,60,66,58
800,0.9983132222222222,58750,-47802.5,21581.886728515627,3808,0.23,42,16500.0,69,54,59,59,58,65,60,57,53
900,0.9981021111111111,-185000,-61765.0,23157.88802734375,4249,0.13,53,12700.0,46,58,56,58,57,50,56,52,54
1000,0.997891,83000,-25965.0,22520.35587890625,4726,0.07,33,27070.0,60,67,59,50,62,61,72,62,44
1100,0.9976798888888889,46500,-46342.5,23457.015263671874,5196,0.16,42,16890.0,62,49,55,59,71,64,55,53,64
1200,0.9974687777777778,-125250,-52885.0,23764.470810546874,5675,0.21,47,15050.0,46,50,53,63,72,55,55,58,73
1300,0.9972576666666667,-167250,-42962.5,23468.586435546877,6164,0.2,43,21910.0,70,68,65,63,58,61,54,61,59
1400,0.9970465555555555,-130500,-47375.0,22843.209736328125,6648,0.36,42,18040.0,66,47,71,66,53,61,62,65,59
1500,0.9968354444444445,16000,-54007.5,23211.75177734375,7099,0.28,49,17330.0,51,71,48,51,49,60,62,58,52
1600,0.9966243333333333,-7250,-47012.5,24027.855693359375,7580,0.3,40,15570.0,69,46,62,80,56,60,61,62,54
1700,0.9964132222222222,-122000,-38125.0,24272.6366796875,8045,0.12,38,20740.0,49,60,46,63,67,52,47,70,60
1800,0.9962021111111111,-7250,-57625.0,23667.20546875,8501,0.25,48,13010.0,56,45,43,73,59,63,61,58,54
1900,0.995991,-7500,-46985.0,23841.5828125,8987,0.11,44,17410.0,57,59,65,59,62,69,61,58,53
2000,0.9957798888888889,-127750,-36862.5,23781.316875,9472,0.18,37,21500.0,63,59,58,61,54,58,69,61,65
2100,0.9955687777777777,-151500,-30965.0,23003.38373046875,9973,0.2,34,23800.0,60,64,79,58,68,47,67,64,54
2200,0.9953576666666667,12250,-55995.0,23959.8759765625,10435,0.07,48,12510.0,47,72,48,60,64,49,63,60,46
2300,0.9951465555555555,59000,-46457.5,23679.199208984373,10897,0.14,44,19650.0,70,56,59,62,44,68,52,58,63
2400,0.9949354444444445,54250,-46982.5,23164.306982421876,11346,0.06,45,18640.0,53,67,52,55,66,48,53,48,60
2500,0.9947243333333333,21500,-53330.0,23764.801591796873,11804,0.01,46,12930.0,63,54,70,42,69,46,72,48,57
2600,0.9945132222222223,-140000,-54122.5,23762.309208984374,12263,0.05,48,14560.0,60,59,53,68,55,53,72,56,43
2700,0.9943021111111111,80500,-70315.0,24340.99447265625,12692,0.25,54,6060.0,51,63,64,55,46,49,52,51,49
2800,0.994091,43500,-42440.0,24542.554892578126,13184,0.22,38,17510.0,71,61,57,60,65,58,68,73,50
2900,0.9938798888888889,-135000,-52472.5,24094.204501953125,13636,0.26,47,16670.0,49,57,52,52,65,59,58,53,56
3000,0.9936687777777777,-155000,-39437.5,23446.5791796875,14130,0.3,37,19220.0,55,47,50,68,65,60,63,73,68
3100,0.9934576666666667,42500,-38302.5,23072.8728515625,14616,0.3,39,23130.0,62,53,59,52,51,65,73,64,69
3200,0.9932465555555555,10500,-43980.0,25395.30525390625,15092,0.16,40,16980.0,62,57,70,62,45,78,48,50,66
3300,0.9930354444444445,-180000,-31635.0,24600.565166015625,15601,0.19,35,24350.0,71,63,78,55,58,79,56,60,60
3400,0.9928243333333333,38500,-51155.0,23754.157705078123,16072,0.04,45,14220.0,57,67,66,60,64,56,42,57,59
3500,0.9926132222222223,-149000,-57212.5,24503.556005859376,16522,0.12,49,13680.0,61,60,51,59,61,55,50,65,49
3600,0.9924021111111111,62500,-43050.0,24945.496416015623,17001,0.16,42,19990.0,60,58,56,63,56,58,64,64,60
3700,0.992191,68750,-46017.5,24319.058212890624,17491,0.09,42,16590.0,67,76,56,70,54,62,57,64,51
