episode,average_reward,bankruptcy_rate,average_ending_money,average_loan_duration,invalid_action_rate
10000,-42855.0,0.39,22150.0,0.17,0.4182242990654206
20000,-46827.5,0.48,20310.0,0.04,0.020833333333333332
30000,-38617.5,0.44,24280.0,0.05,0.002403846153846154
40000,-29810.0,0.43,32520.0,0.11,0.002325581395348837
50000,-19237.5,0.4,39510.0,0.12,0.0
60000,-20965.0,0.38,36650.0,0.22,0.0
70000,-23362.5,0.42,38430.0,0.21,0.0
80000,-28097.5,0.44,34400.0,0.07,0.0
90000,-33017.5,0.47,32920.0,0.06,0.0
100000,-13612.5,0.35,41640.0,0.32,0.0
110000,-31322.5,0.43,32140.0,0.24,0.0
120000,-7370.0,0.33,44320.0,0.2,0.0
130000,-10282.5,0.37,44670.0,0.11,0.0
140000,-20535.0,0.36,34980.0,0.15,0.0
150000,-3712.5,0.29,42850.0,0.11,0.0
160000,-8917.5,0.33,43710.0,0.22,0.0
170000,-28837.5,0.4,31100.0,0.25,0.0
180000,-10540.0,0.34,41250.0,0.03,0.0
190000,-12362.5,0.33,38840.0,0.06,0.0
200000,-45782.5,0.49,23810.0,0.15,0.0
210000,-21797.5,0.39,37110.0,0.24,0.0
220000,-20370.0,0.4,38620.0,0.16,0.0
230000,-17767.5,0.35,36480.0,0.2,0.0
240000,-26602.5,0.42,35700.0,0.24,0.0
