episode,average_reward,bankruptcy_rate,average_ending_money,average_loan_duration,invalid_action_rate
10000,-21485.0,0.46,45970.0,0.2,0.07009345794392523
20000,-37647.5,0.51,34520.0,0.11,0.09615384615384616
30000,-28807.5,0.53,44750.0,0.01,0.08808290155440414
40000,-35930.0,0.54,38640.0,0.08,0.045
50000,-3182.5,0.44,59840.0,0.09,0.024229074889867842
